sim_id,model,alpha,t_test,breach_rate,kupiec_pval,christo_pval,es_realized
11,GARCH-Normal,0.01,250,0.008,0.7419327009525927,1.0,3.6202559831196033
11,XGBoost-Q,0.01,250,0.012,0.7579883213733308,1.0,3.23247940048301
11,Historical-VaR,0.01,250,0.02,0.1618549171960365,1.0,2.707727189205336
12,GARCH-t,0.05,58,0.06896551724137931,0.5297992033445762,0.23469323729108316,3.504189313114444
12,GARCH-Normal,0.05,58,0.034482758620689655,0.566622286684572,1.0,4.1222229969237745
12,XGBoost-Q,0.05,58,0.15517241379310345,0.002872135801635811,0.5768498189407187,2.391227876573028
12,Historical-VaR,0.05,58,0.08620689655172414,0.24909991485866112,0.04003585100782736,3.151683281884573
12,GARCH-t,0.01,58,0.034482758620689655,0.14285740777902822,1.0,4.1222229969237745
12,GARCH-Normal,0.01,58,0.017241379310344827,0.6152964566692893,1.0,4.331111329804324
12,XGBoost-Q,0.01,58,0.08620689655172414,0.0003031273422592351,0.04003585100782736,3.151683281884573
12,Historical-VaR,0.01,58,0.05172413793103448,0.02360405908935692,1.0,3.6890112792833314
12,GARCH-t,0.05,250,0.004,1.7020689304647618e-05,1.0,4.331111329804324
12,GARCH-Normal,0.05,250,0.012,0.001008261016782086,1.0,3.631315848996207
12,XGBoost-Q,0.05,250,0.064,0.3293742025406984,0.08106294284440829,2.3152542397727016
12,Historical-VaR,0.05,250,0.04,0.45291244993520263,0.0036455230658820614,2.6422013407257223
12,GARCH-t,0.01,250,0.0,0.024981503053449705,1.0,
12,GARCH-Normal,0.01,250,0.0,0.024981503053449705,1.0,
12,XGBoost-Q,0.01,250,0.016,0.380483738238954,0.04270457626805502,3.504189313114444
12,Historical-VaR,0.01,250,0.016,0.380483738238954,1.0,3.3791627355412954
13,GARCH-t,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.5119897650550307
13,GARCH-Normal,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.5119897650550307
13,XGBoost-Q,0.05,58,0.017241379310344827,0.18772840378073352,1.0,1.8161989059425279
13,Historical-VaR,0.05,58,0.034482758620689655,0.566622286684572,1.0,1.5119897650550307
13,GARCH-t,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.8161989059425279
13,GARCH-Normal,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.8161989059425279
13,XGBoost-Q,0.01,58,0.0,0.2802578748911524,1.0,
13,Historical-VaR,0.01,58,0.017241379310344827,0.6152964566692893,1.0,1.8161989059425279
13,GARCH-t,0.05,250,0.016,0.004223420509394504,1.0,2.9876724392443674
13,GARCH-Normal,0.05,250,0.028,0.08280655204389309,0.17433170965123956,2.612410968140565
13,XGBoost-Q,0.05,250,0.116,3.768183275731918e-05,0.002382009598185242,1.6269911765981433
13,Historical-VaR,0.05,250,0.052,0.8853472694426691,0.1591447787109309,2.0750215817806543
13,GARCH-t,0.01,250,0.004,0.2780714900139599,1.0,4.162925455349189
13,GARCH-Normal,0.01,250,0.012,0.7579883213733308,1.0,3.3781636170116474
13,XGBoost-Q,0.01,250,0.04,0.0003189845082133269,0.051226555951393915,2.2743245280061926
13,Historical-VaR,0.01,250,0.02,0.1618549171960365,0.07573778314272639,2.781611728420535
14,GARCH-t,0.05,58,0.06896551724137931,0.5297992033445762,1.0,2.019282291847439
14,GARCH-Normal,0.05,58,0.08620689655172414,0.24909991485866112,0.41026037736228527,1.889003923705996
14,XGBoost-Q,0.05,58,0.13793103448275862,0.01064869216888753,0.9548393446602738,1.6175884332188768
14,Historical-VaR,0.05,58,0.034482758620689655,0.566622286684572,1.0,2.458613535683551
14,GARCH-t,0.01,58,0.017241379310344827,0.6152964566692893,1.0,3.095864778204538
14,GARCH-Normal,0.01,58,0.017241379310344827,0.6152964566692893,1.0,3.095864778204538
14,XGBoost-Q,0.01,58,0.017241379310344827,0.6152964566692893,1.0,3.095864778204538
14,Historical-VaR,0.01,58,0.017241379310344827,0.6152964566692893,1.0,3.095864778204538
14,GARCH-t,0.05,250,0.056,0.6690657551458938,0.8060054340398742,2.6933892575014062
14,GARCH-Normal,0.05,250,0.096,0.002886808755840242,0.6293415603548427,2.323795905659287
14,XGBoost-Q,0.05,250,0.144,1.9268683204565207e-08,0.9675689099007716,1.9390325328934648
14,Historical-VaR,0.05,250,0.076,0.07874901240828369,0.21215902495759276,2.51628415006303
14,GARCH-t,0.01,250,0.02,0.1618549171960365,1.0,3.4475480813525605
14,GARCH-Normal,0.01,250,0.036,0.0013824730075047142,0.3157401924103128,3.245348205054042
14,XGBoost-Q,0.01,250,0.076,1.783662106902284e-11,0.21215902495759276,2.6858277104522332
14,Historical-VaR,0.01,250,0.028,0.01904923089052679,0.17433170965123956,3.2007012420522147
15,GARCH-t,0.05,58,0.10344827586206896,0.1001997614778738,0.6249518715764388,1.7137031635084938
15,GARCH-Normal,0.05,58,0.10344827586206896,0.1001997614778738,0.6249518715764388,1.7137031635084938
15,XGBoost-Q,0.05,58,0.10344827586206896,0.1001997614778738,0.6249518715764388,1.7137031635084938
15,Historical-VaR,0.05,58,0.10344827586206896,0.1001997614778738,0.6249518715764388,1.7137031635084938
15,GARCH-t,0.01,58,0.017241379310344827,0.6152964566692893,1.0,2.8928802648397824
15,GARCH-Normal,0.01,58,0.017241379310344827,0.6152964566692893,1.0,2.8928802648397824
15,XGBoost-Q,0.01,58,0.034482758620689655,0.14285740777902822,1.0,2.2664434989340463
